sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
0479,479,M,g,2002,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0480,480,M,b,2003,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",None,Druid Peak,2010,N/A,March 1,Unknown,"Hellroaring Creek Drainage, YNP",,,,Yes,Yes,
0481,481,M,b,2004,April,Gibbon Meadows,537F,304M,"Gibbon Meadows, YNP",Gibbon Meadows,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0482,482,M,b,2000,April,?,?,?,Location Unknown,Gibbon Meadows,Cougar Creek,2010,N/A,February 27,Unknown, Unknown,,,,Yes,Yes,
0483,483,F,g,2002,April,Geode Creek,106F,294M,"Geode Creek Area, Northern YNP",None,-,2005,N/A,June 27,Natural (Elk?),"Geode Creek Area, Northern YNP",,,,Yes,Yes,
0484,484,M,g,2004,April,Nez Perce,48F,70M,"Firehole River Area, YNP",Nez Perce,-,2005,N/A,August 7,Unknown, Unknown,,,,Yes,Yes,
0485,485,F,g,2004,April,Nez Perce,48F,72M,"Firehole River Area, YNP",None,-,N/A,2008,unknown,N/A,West of YNP,,,,Yes,Yes,
0486,486,F,g,2004,April,Nez Perce,48F,72M,"Firehole River Area, YNP",Mollie's,-,N/A,2011,unknown,N/A,"Pelican Valley, YNP",,,,Yes,Yes,
0487,487,M,g,2002?,?,?,?,?,Location Unknown,None,Yellowstone Delta,2006,N/A,April 21,Unknown, Unknown,,,,Yes,Yes,
0488,488,M,g,2004,April,Geode Creek,106F,227M,"Geode Creek Area, Northern YNP",None,-,2005,N/A,August 8,Natural (Malnutrition),"Geode Creek Area, Northern YNP",,,,Yes,Yes,
0489,489,M,b,2004,April,Geode Creek,106F,227M,"Geode Creek Area, Northern YNP",Slough Creek,-,2006,N/A,April 4,Wolf (Unknown),"Slough Creek Area, YNP",,,,Yes,Yes,Unknown was the name given to a pack of wolves with unknown origins that attacked the Slough Creek pack in 2006
0490,490,M,b,2003?,?,Druid Peak or Mollie's,?,?,Location Unknown,Slough Creek,-,2006,N/A,December 29,Unknown (Possibly Unknown pack),"Northern Boundary of Slough Creek, YNP",,,,Yes,Yes,Unknown was the name given to a pack of wolves with unknown origins that attacked the Slough Creek pack in 2007
0491,491,M,g,2004,April,Slough Creek,Black Female SC,261M,"Slough Creek, YNP",None,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0492,492,F,g,2004,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0493,493,M,b,2004,April,Yellowstone Delta,126F,487M,"Thorofare, Southeastern YNP",Yellowstone Delta,-,2006,N/A,February 20,Unknown, Unknown,,,,Yes,Yes,
0495,495,M,b,2004,March,Mollie's,174F,193M,"Pelican Valley, YNP",Mollie's,-,2011,N/A,August 24,Natural (Bison),"Pelican Valley, YNP",,,,Yes,Yes,
0496,496,F,b,2004,April,Mollie's,174F,193M,"Pelican Valley, YNP",Mollie's,-,2005,N/A,June 4,Wolf (Hayden Valley), Unknown,,,,Yes,Yes,
0497,497,M,b,2004,April,Mollie's,174F,193M,"Pelican Valley, YNP",Mollie's,-,2007,N/A,May 6,Vehicle, Unknown,,,,Yes,Yes,
0524,524,F,g,2005,April,Agate Creek,472F,113M,"Antelope Creek, YNP",Agate Creek,-,2007,N/A,July 4,Wolf, Unknown,,,,Yes,Yes,
0525,525,F,b,2003,April,Agate Creek,472F,113M,"Tower Junction Area, YNP",Hoodoo Creek,-,N/A,2011,unknown,N/A, Unknown,,,,Yes,Yes,
